name,brand,category,price,rating,review_count
Смартфон Apple iPhone 15 128GB,Apple,Электроника > Смартфоны,79990.0,4.9,3210
Крем для лица La Roche-Posay Hydreane,La Roche-Posay,Красота > Уход за кожей,1299.0,4.8,4320
Кроссовки Nike Air Max 270,Nike,Мода > Обувь,12990.0,4.8,3210
Наушники Sony WH-1000XM5,Sony,Электроника > Аудиотехника,24990.0,4.8,1247
Книга 'Атомные привычки' Джеймс Клир,Альпина Паблишер,Книги > Саморазвитие,699.0,4.7,8920
Фитнес-браслет Huawei Band 8,Huawei,Электроника > Гаджеты,3990.0,4.7,1543
Микроволновая печь Panasonic NN-ST27JW,Panasonic,Бытовая техника > Кухонная техника,8990.0,4.7,1234
Кофе молотый Lavazza Qualità Rossa,Lavazza,Продукты > Кофе,599.0,4.6,2876
Пылесос Xiaomi Mi Vacuum-Mop 2 Pro,Xiaomi,Бытовая техника > Уборка,18990.0,4.6,2105
Планшет Samsung Galaxy Tab A9,Samsung,Электроника > Планшеты,14990.0,4.6,654
