name,brand,category,price,rating,review_count,discount_percent
Смартфон Apple iPhone 15 128GB,Apple,Электроника > Смартфоны,79990.0,4.9,3210,5.88
Ноутбук Lenovo IdeaPad 3 15ADA6,Lenovo,Электроника > Ноутбуки,39990.0,4.5,876,11.11
Наушники Sony WH-1000XM5,Sony,Электроника > Аудиотехника,24990.0,4.8,1247,16.67
Пылесос Xiaomi Mi Vacuum-Mop 2 Pro,Xiaomi,Бытовая техника > Уборка,18990.0,4.6,2105,17.4
Планшет Samsung Galaxy Tab A9,Samsung,Электроника > Планшеты,14990.0,4.6,654,11.77
Кроссовки Nike Air Max 270,Nike,Мода > Обувь,12990.0,4.8,3210,13.34
Микроволновая печь Panasonic NN-ST27JW,Panasonic,Бытовая техника > Кухонная техника,8990.0,4.7,1234,10.01
Фитнес-браслет Huawei Band 8,Huawei,Электроника > Гаджеты,3990.0,4.7,1543,20.04
Рюкзак городской Xiaomi 20L,Xiaomi,Мода > Сумки и рюкзаки,2990.0,4.5,987,14.33
Чайник электрический Redmond RK-G212S,Redmond,Бытовая техника > Кухонная техника,2490.0,4.4,3421,16.72
